value_rank,name,position,nation,value
89,Daisuke Yokota,Right Winger,Japan,€2.00m
90,Hyun-jun Yang,Right Winger,"Korea, South",€2.00m
91,Gerrit Holtmann,Left Winger,"Philippines,Germany",€2.00m
92,Salem Al-Dawsari,Left Winger,Saudi Arabia,€2.00m
93,Sultan Al-Ghannam,Right-Back,Saudi Arabia,€2.00m
94,Aiham Ousou,Centre-Back,"Syria,Sweden",€2.00m
95,Abdukodir Khusanov,Centre-Back,Uzbekistan,€2.00m
96,Ali Mabkhout,Centre-Forward,United Arab Emirates,€2.00m
97,Majid Rashid,Defensive Midfield,United Arab Emirates,€2.00m
98,Khalifa Al-Hammadi,Centre-Back,United Arab Emirates,€2.00m
99,Abdulla Idrees,Centre-Back,United Arab Emirates,€2.00m
100,Lucas Pimenta,Centre-Back,"United Arab Emirates,Brazil",€2.00m
